,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
E[152],-0.5099,0.2914,-1.0604,0.0528,0.0025,0.0039,13365.1014,8613.9691,1.0005
E[153],-0.5079,0.2922,-1.0491,0.0619,0.0026,0.004,13047.9283,9757.4682,1.0031
E[154],-0.5077,0.2919,-1.0625,0.0375,0.0025,0.0038,13203.7258,10129.741,1.0019
E[155],-0.5112,0.295,-1.0724,0.0527,0.0026,0.0039,13257.6086,9455.6774,1.0011
E[156],-0.5085,0.2954,-1.0602,0.0689,0.0029,0.004,10652.3558,7701.0806,1.0009
E[157],-0.5087,0.2946,-1.0667,0.0532,0.0028,0.0041,11429.887,8341.2712,1.0009
E[158],-0.5054,0.2905,-1.0599,0.0491,0.0028,0.0033,11324.9811,10978.151,1.0007
E[159],-0.5086,0.2925,-1.0699,0.0355,0.0025,0.004,13730.9289,9787.8434,1.002
E[160],-0.5097,0.2924,-1.0515,0.0666,0.0027,0.0039,11707.9649,8156.8082,1.0012
E[161],-0.5084,0.2895,-1.0407,0.0691,0.0028,0.0036,10464.3737,8778.8592,1.0017
E[162],-0.5076,0.2941,-1.0515,0.0714,0.0027,0.0042,12187.9923,8169.1845,1.0031
E[163],-0.511,0.2865,-1.0548,0.0343,0.0027,0.0038,11291.2314,8274.5436,1.0015
E[164],-0.5096,0.2913,-1.0756,0.0361,0.0027,0.004,11487.8934,8070.4653,1.0017
E[165],-0.5085,0.2912,-1.0616,0.0424,0.0027,0.0037,12336.4739,7970.1797,1.0009
E[166],-0.5096,0.2905,-1.0351,0.0772,0.0027,0.0038,11841.7377,9218.1288,1.0025
E[167],-0.5076,0.2892,-1.0637,0.0416,0.0027,0.004,11190.7398,8587.4905,1.0029
E[168],-0.5096,0.289,-1.0423,0.0584,0.0026,0.004,12570.4915,9715.856,1.002
E[169],-0.5135,0.2968,-1.0935,0.0424,0.0027,0.004,12224.6967,10018.1958,1.0024
E[170],-0.512,0.292,-1.0641,0.045,0.0026,0.0041,13057.314,8611.7518,1.0022
E[171],-0.509,0.2891,-1.0362,0.0565,0.0026,0.0036,11986.4233,9979.9431,1.0008
E[172],-0.5085,0.292,-1.0371,0.0765,0.0026,0.004,12159.4484,8165.2244,1.0009
E[173],-0.5076,0.2917,-1.059,0.0499,0.0026,0.0039,12479.8794,9066.3776,1.0008
E[174],-0.5088,0.2901,-1.0404,0.0641,0.0025,0.0035,13531.093,9328.6316,1.0013
E[175],-0.5051,0.2888,-1.0443,0.0531,0.0026,0.0036,12138.1516,10347.6326,1.0009
E[176],-0.5107,0.2877,-1.0468,0.0546,0.0027,0.0034,11214.8576,9120.2825,1.0012
E[177],-0.507,0.2932,-1.0803,0.0344,0.0027,0.0037,11486.146,9137.1508,1.0021
E[178],-0.5088,0.2926,-1.0645,0.0459,0.0027,0.0038,12281.5992,9188.2959,1.0014
E[179],-0.5097,0.2914,-1.0571,0.0477,0.0029,0.0037,10292.7796,9046.4705,1.0018
